transaction_id,user_id,transaction_amount,transaction_type,timestamp,sender_balance_before,sender_balance_after,receiver_id,is_new_receiver,device_id,is_new_device,latitude,longitude,distance_from_usual_location,ip_address,is_new_ip,transactions_last_1_hour,transactions_last_24_hours,average_transaction_amount,amount_deviation_ratio,failed_transaction_count,qr_transaction,merchant_id,merchant_category,merchant_risk_score,account_age_days,fraud_scenario,is_fraud
TXN71B38E36,USER3235,6289.96,QR,2026-06-09 14:22:42.411038,65147.61,58857.65,USER7748,1,DEV6840,0,18.533466,73.899414,7.03,75.183.78.58,0,0,2,843.13,7.46,0,1,MER8091,Restaurant,0.19,91,LEGITIMATE,0
TXNCA9CA64A,USER6615,9752.46,P2P,2026-07-31 12:44:42.426293,55585.91,45833.45,USER8030,1,DEV1421,0,18.52435,73.741365,10.52,40.15.215.38,0,2,5,700.13,13.93,0,0,MER7617,Grocery,0.16,1654,LEGITIMATE,0
TXN2C54A383,USER4434,3110.54,P2M,2026-06-16 18:10:42.404457,12030.09,8919.55,USER3749,0,DEV3999,0,18.42508,73.996803,5.05,123.119.230.228,0,2,9,1039.43,2.99,0,0,MER2573,Grocery,0.24,864,LEGITIMATE,0
TXNDECEE4FD,USER1943,7848.03,P2M,2026-07-22 15:34:42.431202,77974.94,70126.91,USER3089,1,DEV1207,0,18.533543,73.961357,6.66,168.96.58.37,0,0,4,903.18,8.69,1,0,MER6456,Grocery,0.28,1539,LEGITIMATE,0
TXNFAE4A019,USER7842,6874.27,QR,2026-07-11 19:29:42.420819,10693.96,3819.69,USER1586,0,DEV6026,0,18.497575,73.913872,17.84,138.207.248.4,0,3,9,3883.15,1.77,0,1,MER5487,Utilities,0.25,869,LEGITIMATE,0
TXN54B616B0,USER5560,952.74,P2P,2026-07-28 09:31:42.392959,44323.23,43370.49,USER7838,1,DEV3686,0,18.599878,73.99563,13.27,202.135.200.239,1,4,13,4175.42,0.23,1,0,MER7020,Fuel,0.14,1809,LEGITIMATE,0
TXNABFDD233,USER7113,9114.52,P2M,2026-08-06 14:29:42.419338,47346.5,38231.98,USER3344,0,DEV7840,0,18.400303,73.907634,19.9,196.252.1.40,0,0,20,1338.86,6.81,1,0,MER7465,Shopping,0.17,187,LEGITIMATE,0
TXN7DAD459E,USER9337,8540.49,P2M,2026-06-15 20:24:42.416241,90805.58,82265.09,USER3186,0,DEV3585,0,18.405536,73.787601,19.48,2.119.188.136,0,2,11,4171.24,2.05,1,0,MER9584,Shopping,0.02,1668,LEGITIMATE,0
TXN937D7CDF,USER5903,5984.93,P2P,2026-06-25 07:49:42.418811,97833.52,91848.59,USER9961,1,DEV9791,0,18.535703,73.961405,7.06,197.151.201.143,0,0,17,1017.86,5.88,0,0,MER5510,Shopping,0.16,305,LEGITIMATE,0
TXND5D6CF86,USER2119,3394.99,P2P,2026-06-15 04:55:42.408753,34037.98,30642.99,USER8548,0,DEV8559,0,18.478024,73.869362,10.25,80.160.215.97,0,3,14,4731.32,0.72,1,0,MER3278,Travel,0.11,116,LEGITIMATE,0
TXNBF30A9E6,USER5012,5239.04,QR,2026-06-28 04:59:42.406969,19344.29,14105.25,USER1301,0,DEV7084,0,18.648183,73.787141,15.59,89.235.116.34,1,0,13,2111.85,2.48,1,1,MER1367,Grocery,0.1,1293,LEGITIMATE,0
TXNB32F0195,USER6978,8699.13,P2P,2026-07-30 17:47:42.414203,58319.8,49620.67,USER6836,0,DEV5551,0,18.548135,73.795096,7.75,240.78.154.175,0,0,2,4074.11,2.14,1,0,MER4271,Grocery,0.26,1866,LEGITIMATE,0
TXNBA9A6553,USER1282,2386.86,P2M,2026-07-21 14:09:42.415929,48704.66,46317.8,USER7247,0,DEV6284,0,18.637791,73.870096,5.89,78.174.173.148,0,4,5,1476.87,1.62,0,0,MER6479,Fuel,0.18,375,LEGITIMATE,0
TXNCA13FB98,USER2821,5856.0,QR,2026-07-23 18:43:42.395899,88236.57,82380.57,USER7735,0,DEV3598,0,18.617222,73.725049,9.1,35.124.240.224,0,3,11,4594.36,1.27,1,1,MER9477,Fuel,0.01,1454,LEGITIMATE,0
TXN68482CD4,USER1280,1718.39,P2P,2026-06-23 12:37:42.426748,85048.25,83329.86,USER5517,0,DEV9327,0,18.501334,73.81903,5.6,247.60.249.233,0,3,10,500.36,3.43,0,0,MER7575,Shopping,0.08,1320,LEGITIMATE,0
TXNF81B624A,USER6351,1376.94,P2M,2026-08-04 13:46:42.417532,17561.53,16184.59,USER3677,0,DEV3426,0,18.533297,73.776949,12.42,72.242.151.174,0,1,18,1126.38,1.22,0,0,MER8855,Shopping,0.23,1432,LEGITIMATE,0
TXN87E0BDDC,USER8770,9352.29,QR,2026-06-10 16:49:42.406600,55815.64,46463.35,USER8472,0,DEV7749,0,18.619418,73.980286,5.28,106.41.137.34,0,3,7,1228.73,7.61,0,1,MER7046,Restaurant,0.11,1911,LEGITIMATE,0
TXN17698101,USER8066,8046.27,QR,2026-07-23 16:09:42.393097,24945.57,16899.3,USER7314,0,DEV7013,0,18.484756,73.904488,18.0,204.122.231.92,0,0,3,1491.88,5.39,0,1,MER3393,Grocery,0.14,843,LEGITIMATE,0
TXN6D4B881C,USER5021,3472.12,P2M,2026-07-23 04:35:42.409596,82208.02,78735.9,USER6348,1,DEV6856,0,18.62367,73.837463,19.55,178.98.91.66,0,0,4,4390.73,0.79,0,0,MER3650,Entertainment,0.2,615,LEGITIMATE,0
TXN6815ABE4,USER8450,5017.39,P2P,2026-07-07 20:55:42.417668,88627.49,83610.1,USER1411,0,DEV7270,0,18.589413,73.701227,14.57,212.109.93.79,1,0,14,619.94,8.09,1,0,MER3928,Utilities,0.09,345,LEGITIMATE,0
TXNC8F9ED2C,USER5092,8978.24,QR,2026-07-24 13:37:42.431992,71932.64,62954.4,USER8420,1,DEV4109,0,18.419554,73.784018,3.31,211.123.115.243,0,0,18,4880.4,1.84,1,1,MER6973,Fuel,0.09,1730,LEGITIMATE,0
TXN04D481B9,USER2951,11883.18,P2P,2026-06-13 10:03:42.435278,98820.31,91099.39,USER2013,0,DEV5997,0,18.561314,73.884037,999.91,229.4.175.176,0,2,20,744.32,10.37,1,0,MER9046,Travel,0.19,1346,NEW_LOCATION,1
TXNF41D0770,USER1043,5459.53,P2M,2026-06-19 07:22:42.411209,27608.76,22149.23,USER3663,0,DEV7304,0,18.557563,73.888612,11.77,241.167.237.213,0,2,11,4541.13,1.2,0,0,MER7558,Grocery,0.21,316,LEGITIMATE,0
TXN173813BA,USER3697,139.21,P2M,2026-06-08 21:02:42.410104,60091.06,59951.85,USER2532,1,DEV6994,0,18.519498,73.777262,1.75,156.184.19.28,1,3,1,4718.75,0.03,0,0,MER8879,Entertainment,0.27,1791,LEGITIMATE,0
TXN3EC658B1,USER4752,4698.21,QR,2026-07-28 07:29:42.394832,50250.62,45552.41,USER1053,0,DEV3998,1,18.403698,73.97778,13.05,185.85.254.196,0,2,13,4320.14,1.09,0,1,MER3561,Fuel,0.18,655,LEGITIMATE,0
TXNAD3825D1,USER6150,5990.22,P2M,2026-06-18 08:24:42.395730,22496.0,16505.78,USER6245,0,DEV5862,1,18.455641,73.743035,11.39,1.190.137.3,1,1,16,1879.43,3.19,1,0,MER7888,Entertainment,0.04,90,LEGITIMATE,0
TXN1C78B1B8,USER3271,70263.34,P2P,2026-06-13 10:09:42.439975,57029.53,56562.36,USER2835,1,DEV8580,0,18.647677,73.831891,6.55,159.124.231.185,0,1,16,1868.77,0.25,0,0,MER3027,Shopping,0.17,1495,NEW_RECEIVER,1
TXN3D695706,USER6125,669.91,P2P,2026-06-27 20:10:42.411984,32617.54,31947.63,USER1268,1,DEV3265,0,18.498884,73.811615,6.88,196.109.46.246,0,2,14,4656.06,0.14,0,0,MER9903,Travel,0.1,1002,LEGITIMATE,0
TXN15635119,USER6839,9924.33,P2P,2026-07-11 22:38:42.407121,50999.93,41075.6,USER3490,1,DEV9513,0,18.529153,73.904211,15.5,89.249.191.58,0,3,16,805.03,12.33,0,0,MER2274,Grocery,0.05,1398,LEGITIMATE,0
TXN117E5DD1,USER2896,1310.58,QR,2026-07-28 03:59:42.420051,16019.89,14709.31,USER3836,0,DEV6372,1,18.534362,73.896401,19.36,6.34.123.248,0,1,15,1112.2,1.18,0,1,MER1055,Grocery,0.28,860,LEGITIMATE,0
TXN60FEE4E6,USER4027,72773.18,QR,2026-06-05 03:04:42.436417,85166.85,76743.24,USER5064,0,DEV6928,0,18.626665,73.841816,15.32,26.49.26.202,1,4,14,1148.61,7.33,8,1,MER5766,Grocery,0.06,741,FAILED_ATTEMPTS,1
TXN5ED6EE1D,USER7151,1191.34,P2M,2026-08-05 12:13:42.395941,27586.06,26394.72,USER5434,0,DEV9953,0,18.56228,73.906784,13.58,232.145.204.162,0,2,7,2204.03,0.54,1,0,MER7645,Entertainment,0.17,1524,LEGITIMATE,0
TXN9F8470FC,USER7398,9626.3,P2M,2026-06-21 08:32:42.425566,67813.17,58186.87,USER7956,1,DEV1057,1,18.5838,73.856653,6.33,172.53.247.67,0,1,18,1878.09,5.13,0,0,MER5427,Travel,0.19,1027,LEGITIMATE,0
TXN0FB30628,USER1080,3460.17,P2P,2026-06-18 04:53:42.399629,42513.78,39053.61,USER7427,1,DEV2181,1,18.539442,73.962981,11.76,220.217.23.251,0,0,20,3928.02,0.88,1,0,MER4195,Utilities,0.16,703,LEGITIMATE,0
TXNE859C188,USER1591,769.49,QR,2026-07-17 04:42:42.414150,87916.29,87146.8,USER6359,1,DEV3889,0,18.406601,73.79475,15.16,121.17.219.162,0,4,9,3707.17,0.21,0,1,MER5651,Fuel,0.22,1421,LEGITIMATE,0
TXN618CFCE3,USER8629,4102.76,P2M,2026-07-17 04:51:42.420133,27646.11,23543.35,USER2466,0,DEV2729,0,18.513383,73.768675,13.5,3.136.146.147,1,1,16,530.65,7.73,0,0,MER6610,Travel,0.29,130,LEGITIMATE,0
TXND5806924,USER6604,5753.95,QR,2026-07-27 23:38:42.395562,24165.63,18411.68,USER1937,0,DEV6184,0,18.630509,73.721877,16.2,225.11.240.254,1,0,15,1112.88,5.17,1,1,MER3878,Grocery,0.1,164,LEGITIMATE,0
TXN4C2AF622,USER7763,7684.32,P2M,2026-07-05 12:02:42.410644,16561.76,8877.44,USER6383,0,DEV5517,0,18.598878,73.796142,5.9,51.215.117.130,0,2,2,4483.87,1.71,0,0,MER1228,Utilities,0.15,1587,LEGITIMATE,0
TXN0B21C9A9,USER2056,2875.69,QR,2026-08-04 08:22:42.397522,11809.22,8933.53,USER9433,0,DEV5698,1,18.481002,73.853919,10.3,113.128.39.17,0,2,8,1943.49,1.48,0,1,MER4738,Shopping,0.22,775,LEGITIMATE,0
TXN2901814A,USER4957,3724.39,QR,2026-08-01 11:28:42.388735,37926.11,34201.72,USER7163,1,DEV5019,0,18.534428,73.785632,10.56,60.178.57.160,0,0,16,1365.93,2.73,1,1,MER9535,Utilities,0.13,883,LEGITIMATE,0
TXNBB5CDC56,USER1905,9092.71,QR,2026-07-15 10:53:42.432791,50005.98,40913.27,USER2008,0,DEV8573,1,18.625915,73.993923,18.52,189.255.27.63,1,4,13,3353.71,2.71,1,1,MER1130,Restaurant,0.25,1277,LEGITIMATE,0
TXN6138B478,USER2112,9180.87,P2P,2026-06-15 15:00:42.402409,99050.06,89869.19,USER9430,0,DEV8178,0,18.581955,73.833846,19.98,77.155.73.186,1,4,12,3955.08,2.32,0,0,MER8378,Restaurant,0.29,618,LEGITIMATE,0
TXNE22B1440,USER3039,9609.18,QR,2026-07-04 11:22:42.396548,57041.7,47432.52,USER6316,0,DEV9725,0,18.422931,73.705395,3.1,252.18.240.158,1,3,8,3675.84,2.61,1,1,MER6954,Utilities,0.24,614,LEGITIMATE,0
TXND7EC311A,USER6397,381750.26,P2P,2026-07-17 12:43:42.437712,86618.24,79149.99,USER9283,0,DEV3743,1,18.606102,73.98021,6.0,59.184.136.117,0,2,15,758.5,503.3,0,0,MER3216,Entertainment,0.11,467,HIGH_VALUE,1
TXN452E0C72,USER2115,9561.32,P2P,2026-06-08 13:26:42.416697,51009.38,41448.06,USER1800,0,DEV2088,0,18.616576,73.715805,2.58,87.207.111.23,1,1,4,4239.09,2.26,1,0,MER4853,Entertainment,0.13,1986,LEGITIMATE,0
TXN5F8CE2CF,USER4419,5281.85,P2P,2026-08-05 13:08:42.428412,24234.93,18953.08,USER1337,1,DEV7746,0,18.445476,73.755324,3.76,44.18.165.140,0,2,13,1377.58,3.83,1,0,MER7304,Grocery,0.13,260,LEGITIMATE,0
TXNF0977EFD,USER2226,7524.04,QR,2026-07-01 18:29:42.419135,36793.95,29269.91,USER8484,0,DEV8232,1,18.486092,73.849691,14.27,68.63.148.96,0,3,5,4838.45,1.56,0,1,MER7361,Grocery,0.17,756,LEGITIMATE,0
TXN79E2C0D5,USER3888,4932.31,P2M,2026-06-29 09:10:42.426498,95998.72,91066.41,USER9008,0,DEV5453,0,18.599606,73.9661,6.62,173.92.236.88,1,0,6,4866.51,1.01,0,0,MER6835,Utilities,0.24,1638,LEGITIMATE,0
TXNDF7FF2B7,USER9640,5451.08,P2M,2026-07-19 22:00:42.409325,94700.19,89249.11,USER5440,0,DEV6100,1,18.482197,73.931014,8.96,230.190.210.117,1,2,18,1279.23,4.26,1,0,MER6315,Grocery,0.26,1596,LEGITIMATE,0
TXN4FF20615,USER1441,4248.23,QR,2026-08-02 05:53:42.433130,45056.09,40807.86,USER8064,0,DEV7935,0,18.646441,73.889924,12.39,92.95.113.43,0,0,19,4076.44,1.04,1,1,MER1766,Restaurant,0.24,924,LEGITIMATE,0
TXNCAA7CCAA,USER4755,8686.48,P2P,2026-07-11 11:46:42.425527,14464.35,5777.87,USER8995,1,DEV7778,1,18.619555,73.714437,7.65,179.60.30.17,0,3,20,655.51,13.25,1,0,MER7474,Entertainment,0.11,1559,LEGITIMATE,0
TXN2CC7155D,USER2535,1036.69,P2M,2026-06-26 04:32:42.420335,76705.75,75669.06,USER1745,0,DEV6886,0,18.609631,73.79289,6.97,25.22.79.121,0,4,14,1646.99,0.63,0,0,MER4930,Travel,0.24,409,LEGITIMATE,0
TXN7D53BCF8,USER2914,4555.59,QR,2026-06-27 12:07:42.387912,22340.04,17784.45,USER1120,0,DEV7786,0,18.617545,73.822169,16.11,93.20.123.164,0,4,11,3582.61,1.27,1,1,MER5448,Travel,0.04,1267,LEGITIMATE,0
TXNF9D68801,USER7772,26572.45,QR,2026-07-22 15:42:42.437200,11626.37,6709.27,USER7552,1,DEV2240,0,18.444492,73.79574,0.99,252.235.78.8,0,3,16,3344.46,1.47,0,1,MER4739,Fuel,0.84,1569,QR_FRAUD,1
TXN0EC01C42,USER3991,1430.45,QR,2026-07-22 05:53:42.427039,31417.34,29986.89,USER6130,0,DEV5097,0,18.582326,73.787863,15.49,207.197.189.142,0,2,1,1154.65,1.24,0,1,MER9847,Fuel,0.19,1437,LEGITIMATE,0
TXND9D38240,USER3064,1525.32,P2P,2026-07-17 15:33:42.412078,59821.27,58295.95,USER3892,0,DEV3948,1,18.61904,73.91693,11.75,45.115.15.19,0,1,9,1366.52,1.12,0,0,MER7595,Utilities,0.14,936,LEGITIMATE,0
TXNC7F82CC5,USER7801,419.19,P2M,2026-06-22 14:33:42.385833,62744.33,62325.14,USER5279,1,DEV2129,1,18.414394,73.974333,2.92,164.8.103.113,0,1,16,4852.68,0.09,0,0,MER8511,Entertainment,0.24,1365,LEGITIMATE,0
TXN35BC650B,USER6743,759.2,QR,2026-06-10 20:43:42.389955,22251.84,21492.64,USER1812,1,DEV3826,0,18.506741,73.904918,12.24,25.25.36.217,1,0,14,1030.15,0.74,1,1,MER1589,Grocery,0.11,1775,LEGITIMATE,0
TXN0DCF8505,USER9267,3305.38,QR,2026-07-28 22:50:42.413300,24935.21,21629.83,USER7007,0,DEV2080,0,18.488249,73.766356,19.21,223.153.130.88,0,1,2,3757.98,0.88,0,1,MER1979,Travel,0.12,959,LEGITIMATE,0
TXND3740D30,USER1246,4272.83,P2M,2026-06-30 05:10:42.403624,66907.51,62634.68,USER9309,0,DEV3249,0,18.628065,73.734934,7.72,38.75.165.37,0,4,18,3152.49,1.36,1,0,MER4234,Grocery,0.19,1482,LEGITIMATE,0
TXN17B3256F,USER2618,8794.43,P2P,2026-07-13 09:30:42.428686,27805.31,19010.88,USER3820,0,DEV9834,0,18.469764,73.722492,15.47,197.19.36.9,0,1,4,3737.12,2.35,0,0,MER6010,Fuel,0.07,1367,LEGITIMATE,0
TXN7E52A490,USER2349,4703.51,QR,2026-07-21 09:04:42.434683,99464.84,94761.33,USER7282,1,DEV4554,0,18.556153,73.846185,19.87,117.69.116.79,0,4,15,4339.94,1.08,0,1,MER6330,Utilities,0.29,117,LEGITIMATE,0
TXNC5BF52A9,USER2202,6150.5,P2P,2026-06-15 11:49:42.405567,82019.91,75869.41,USER1445,0,DEV3854,0,18.643278,73.848674,18.01,131.162.207.216,0,1,15,2505.39,2.45,1,0,MER6588,Restaurant,0.18,532,LEGITIMATE,0
TXN834F035E,USER5341,4409.61,P2P,2026-06-19 17:18:42.397613,99676.98,95267.37,USER4595,0,DEV3428,0,18.48314,73.708649,1.88,115.229.62.166,0,2,6,1150.37,3.83,1,0,MER2618,Entertainment,0.24,762,LEGITIMATE,0
TXN52DA1964,USER7562,2980.63,P2M,2026-06-18 23:16:42.423865,97839.89,94859.26,USER7648,1,DEV2203,0,18.523845,73.890973,6.21,34.18.251.47,1,0,17,1704.18,1.75,0,0,MER1848,Fuel,0.2,1818,LEGITIMATE,0
TXN1142E474,USER2264,5499.74,P2M,2026-06-08 20:12:42.415622,31009.32,25509.58,USER5746,1,DEV9952,1,18.420212,73.91697,15.07,102.165.15.86,0,0,3,2697.11,2.04,1,0,MER5716,Fuel,0.13,929,LEGITIMATE,0
TXN0A957227,USER7262,1771.74,P2P,2026-07-30 11:07:42.390668,11013.26,9241.52,USER2097,1,DEV9117,0,18.581048,73.947219,1.58,143.44.20.42,0,2,4,1823.1,0.97,0,0,MER3236,Entertainment,0.17,1195,LEGITIMATE,0
TXN753FF4DA,USER4802,7211.99,QR,2026-07-03 09:38:42.382490,48443.98,41231.99,USER9213,0,DEV4528,0,18.423379,73.962505,3.18,146.123.248.9,0,1,18,928.06,7.77,0,1,MER4941,Utilities,0.0,1504,LEGITIMATE,0
TXN87C2D455,USER3317,4383.77,QR,2026-07-01 12:29:42.426213,74266.18,69882.41,USER6866,1,DEV5813,0,18.6472,73.959726,15.76,189.157.243.231,0,4,16,933.79,4.69,1,1,MER6962,Utilities,0.03,1451,LEGITIMATE,0
TXN6F38C70B,USER4735,3782.9,QR,2026-07-10 16:02:42.389528,74580.72,70797.82,USER4413,0,DEV9185,0,18.460931,73.986516,14.01,173.58.64.162,1,0,3,3285.19,1.15,1,1,MER9350,Entertainment,0.05,1409,LEGITIMATE,0
TXN5AAADF82,USER3513,2611.39,QR,2026-07-09 08:40:42.419722,94188.91,91577.52,USER5371,0,DEV2852,0,18.425987,73.914624,13.44,1.223.48.177,0,3,13,4296.21,0.61,1,1,MER1785,Restaurant,0.0,146,LEGITIMATE,0
TXN949E63B0,USER7540,788.16,QR,2026-06-10 13:12:42.411890,41795.28,41007.12,USER6447,0,DEV4522,0,18.583504,73.852532,10.62,137.75.99.242,0,4,19,3865.64,0.2,1,1,MER1451,Fuel,0.24,1428,LEGITIMATE,0
TXN508F3F0E,USER3950,8946.54,P2M,2026-07-05 01:05:42.381806,64744.3,55797.76,USER3019,1,DEV7667,0,18.40211,73.841926,1.58,134.49.167.126,0,1,12,2562.12,3.49,0,0,MER1871,Entertainment,0.19,1679,LEGITIMATE,0
TXN27335231,USER8626,2815.69,P2P,2026-07-02 19:40:42.403530,35160.71,32345.02,USER2762,0,DEV4866,0,18.616174,73.733168,2.22,166.93.193.222,1,3,16,1188.51,2.37,1,0,MER6779,Restaurant,0.27,342,LEGITIMATE,0
TXNDAE51E1D,USER6715,1783.19,P2P,2026-06-22 16:17:42.402204,32644.7,30861.51,USER6343,0,DEV7489,0,18.401716,73.970276,2.49,47.232.238.178,1,3,10,984.6,1.81,0,0,MER4918,Restaurant,0.18,1898,LEGITIMATE,0
TXND7D86281,USER9601,8659.78,P2M,2026-06-30 05:37:42.417747,82245.38,73585.6,USER4921,0,DEV8849,0,18.532536,73.921709,6.66,193.215.209.172,0,0,12,658.16,13.16,0,0,MER2768,Entertainment,0.06,357,LEGITIMATE,0
TXN7C93C138,USER4771,1830.79,P2M,2026-06-18 07:43:42.416010,44655.04,42824.25,USER4015,0,DEV6976,0,18.404811,73.952797,18.87,232.198.48.172,0,2,2,817.53,2.24,1,0,MER9975,Grocery,0.21,1740,LEGITIMATE,0
TXN443BA9A9,USER5426,5943.96,P2P,2026-06-30 09:03:42.426254,61676.43,55732.47,USER9405,0,DEV7250,0,18.578663,73.957297,19.9,114.129.147.23,0,2,4,2260.07,2.63,0,0,MER9502,Entertainment,0.12,393,LEGITIMATE,0
TXN6B179A3F,USER1101,139039.82,QR,2026-08-07 15:54:42.437821,92941.57,89743.02,USER2011,0,DEV7705,0,18.458735,73.765203,8.36,186.245.14.148,0,4,8,2312.77,60.12,1,1,MER9410,Shopping,0.09,234,HIGH_VALUE,1
TXN1AE4AED5,USER3045,90396.21,QR,2026-06-13 15:00:42.439301,73820.39,65592.3,USER6829,1,DEV4024,1,18.636259,73.728584,0.62,83.192.200.245,1,1,2,2111.91,3.9,1,1,MER7259,Fuel,0.2,247,NEW_DEVICE,1
TXNB48DB3A3,USER2463,6290.83,QR,2026-06-21 07:40:42.408708,85186.79,78895.96,USER1697,1,DEV8153,1,18.508573,73.784134,0.88,69.183.88.151,0,4,19,3245.0,1.94,1,1,MER1238,Entertainment,0.18,252,LEGITIMATE,0
TXN7E5A7800,USER2939,4695.27,P2P,2026-06-23 20:25:42.432194,14350.4,9655.13,USER3259,0,DEV2295,0,18.607563,73.815834,0.9,219.85.231.89,0,1,13,1030.61,4.56,0,0,MER3542,Shopping,0.15,111,LEGITIMATE,0
TXNB00A8CDD,USER3634,82160.97,P2P,2026-07-26 11:50:42.439662,38423.33,31983.34,USER8068,0,DEV6476,1,18.615448,73.86895,12.61,171.2.53.64,1,1,2,4848.82,1.33,0,0,MER9362,Entertainment,0.28,46,NEW_DEVICE,1
TXN3FF51218,USER6718,138648.04,P2M,2026-07-23 18:50:42.436044,57016.95,53052.65,USER6878,1,DEV9963,0,18.636477,73.941653,13.38,157.76.127.30,0,2,10,3969.5,1.0,0,0,MER6219,Utilities,0.95,1893,MERCHANT_FRAUD,1
TXN4EEBB8B1,USER3023,8167.68,P2M,2026-06-19 22:07:42.419509,50709.85,42542.17,USER1195,0,DEV4222,0,18.594082,73.797536,19.29,21.178.190.136,1,1,13,4611.6,1.77,0,0,MER6933,Grocery,0.29,1388,LEGITIMATE,0
TXN6311ACFE,USER8693,1060.11,P2M,2026-06-07 09:17:42.394586,46666.98,45606.87,USER3168,1,DEV8848,1,18.561512,73.965175,17.96,215.62.145.21,0,3,1,1995.45,0.53,0,0,MER8288,Utilities,0.01,125,LEGITIMATE,0
TXN9FD9E7CE,USER2776,2914.07,P2P,2026-06-05 17:57:42.402690,51081.42,48167.35,USER3278,0,DEV3151,0,18.62965,73.754769,0.11,76.110.17.235,0,4,1,4057.17,0.72,0,0,MER8722,Utilities,0.12,555,LEGITIMATE,0
TXNE8A5E162,USER2322,1244.8,QR,2026-06-28 11:07:42.410861,53615.99,52371.19,USER3910,0,DEV9456,0,18.565316,73.767414,0.24,118.197.206.27,0,0,8,2221.45,0.56,0,1,MER8868,Fuel,0.2,1466,LEGITIMATE,0
TXN0F557B9E,USER7236,1392.09,P2P,2026-06-10 22:03:42.387150,38923.92,37531.83,USER3222,0,DEV4743,0,18.554146,73.764993,3.68,159.134.13.156,1,3,2,4999.68,0.28,1,0,MER4148,Fuel,0.13,116,LEGITIMATE,0
